antecedents,consequents,antecedent support,consequent support,support,confidence,lift,leverage,conviction
frozenset({'ai'}),frozenset({'medical'}),0.058823529411764705,0.058823529411764705,0.058823529411764705,1.0,17.0,0.05536332179930796,inf
frozenset({'data'}),frozenset({'datasets'}),0.058823529411764705,0.058823529411764705,0.058823529411764705,1.0,17.0,0.05536332179930796,inf
frozenset({'datasets'}),frozenset({'data'}),0.058823529411764705,0.058823529411764705,0.058823529411764705,1.0,17.0,0.05536332179930796,inf
frozenset({'informatics'}),frozenset({'data'}),0.058823529411764705,0.058823529411764705,0.058823529411764705,1.0,17.0,0.05536332179930796,inf
frozenset({'data'}),frozenset({'informatics'}),0.058823529411764705,0.058823529411764705,0.058823529411764705,1.0,17.0,0.05536332179930796,inf
frozenset({'data'}),frozenset({'medical'}),0.058823529411764705,0.058823529411764705,0.058823529411764705,1.0,17.0,0.05536332179930796,inf
frozenset({'medical'}),frozenset({'data'}),0.058823529411764705,0.058823529411764705,0.058823529411764705,1.0,17.0,0.05536332179930796,inf
frozenset({'informatics'}),frozenset({'datasets'}),0.058823529411764705,0.058823529411764705,0.058823529411764705,1.0,17.0,0.05536332179930796,inf
frozenset({'datasets'}),frozenset({'informatics'}),0.058823529411764705,0.058823529411764705,0.058823529411764705,1.0,17.0,0.05536332179930796,inf
frozenset({'medical'}),frozenset({'datasets'}),0.058823529411764705,0.058823529411764705,0.058823529411764705,1.0,17.0,0.05536332179930796,inf
frozenset({'datasets'}),frozenset({'medical'}),0.058823529411764705,0.058823529411764705,0.058823529411764705,1.0,17.0,0.05536332179930796,inf
frozenset({'informatics'}),frozenset({'medical'}),0.058823529411764705,0.058823529411764705,0.058823529411764705,1.0,17.0,0.05536332179930796,inf
frozenset({'medical'}),frozenset({'informatics'}),0.058823529411764705,0.058823529411764705,0.058823529411764705,1.0,17.0,0.05536332179930796,inf
frozenset({'mam'}),frozenset({'overview'}),0.6470588235294118,0.5882352941176471,0.47058823529411764,0.7272727272727272,1.236363636363636,0.08996539792387537,1.509803921568627
frozenset({'overview'}),frozenset({'mam'}),0.5882352941176471,0.6470588235294118,0.47058823529411764,0.7999999999999999,1.236363636363636,0.08996539792387537,1.7647058823529405
"frozenset({'mam', 'overview'})",frozenset({'actenl'}),0.47058823529411764,0.5882352941176471,0.47058823529411764,1.0,1.7,0.19377162629757783,inf
"frozenset({'mam', 'actenl'})",frozenset({'overview'}),0.47058823529411764,0.5882352941176471,0.47058823529411764,1.0,1.7,0.19377162629757783,inf
"frozenset({'overview', 'actenl'})",frozenset({'mam'}),0.5882352941176471,0.6470588235294118,0.47058823529411764,0.7999999999999999,1.236363636363636,0.08996539792387537,1.7647058823529405
frozenset({'mam'}),"frozenset({'overview', 'actenl'})",0.6470588235294118,0.5882352941176471,0.47058823529411764,0.7272727272727272,1.236363636363636,0.08996539792387537,1.509803921568627
frozenset({'overview'}),"frozenset({'mam', 'actenl'})",0.5882352941176471,0.47058823529411764,0.47058823529411764,0.7999999999999999,1.7,0.19377162629757783,2.647058823529411
frozenset({'actenl'}),"frozenset({'mam', 'overview'})",0.5882352941176471,0.47058823529411764,0.47058823529411764,0.7999999999999999,1.7,0.19377162629757783,2.647058823529411
"frozenset({'data', 'datasets'})",frozenset({'ai'}),0.058823529411764705,0.058823529411764705,0.058823529411764705,1.0,17.0,0.05536332179930796,inf
"frozenset({'ai', 'datasets'})",frozenset({'data'}),0.058823529411764705,0.058823529411764705,0.058823529411764705,1.0,17.0,0.05536332179930796,inf
